ticker,date,total_volume,call_volume,put_volume,open_interest,vol_oi_ratio,put_call_ratio,top_call_strike,top_call_strike_volume,top_call_expiry,top_put_strike,top_put_strike_volume,top_put_expiry,stock_price
PZZA,2026-07-09,254,118,136,54602,0.0,1.15,40.0,45.0,2026-07-17,30.0,34.0,2026-08-21,
LWLG,2026-07-09,1968,1658,310,29792,0.07,0.19,8.0,501.0,2026-07-17,7.0,142.0,2026-07-17,
PRCT,2026-07-09,396,260,136,11705,0.03,0.52,35.0,67.0,2026-07-17,25.0,57.0,2026-07-17,
AMC,2026-07-09,29427,27502,1925,667125,0.04,0.07,2.0,12296.0,2026-07-17,1.5,878.0,2026-07-17,
SMPL,2026-07-09,3380,2440,940,6482,0.52,0.39,12.5,1193.0,2026-07-17,10.0,539.0,2026-07-17,
RCAT,2026-07-09,6989,3490,3499,112919,0.06,1.0,10.0,977.0,2026-07-10,9.0,696.0,2026-07-17,
IE,2026-07-09,625,533,92,14088,0.04,0.17,35.0,400.0,2026-07-17,7.5,30.0,2026-08-21,
AVNS,2026-07-09,655,72,583,3937,0.17,8.1,10.0,20.0,2026-07-17,22.5,500.0,2026-07-17,
CEVA,2026-07-09,1873,1279,594,12618,0.15,0.46,50.0,495.0,2026-07-17,40.0,228.0,2026-07-17,
WOLF,2026-07-09,6792,4241,2551,53352,0.13,0.6,40.0,1242.0,2026-07-17,32.5,1548.0,2026-07-17,
CIM,2026-07-09,252,154,98,3000,0.08,0.64,15.0,100.0,2026-08-21,14.0,44.0,2026-07-17,
WLDN,2026-07-09,616,576,40,1723,0.36,0.07,105.0,249.0,2026-07-17,60.0,4.0,2026-08-21,
UPWK,2026-07-09,216,121,95,12867,0.02,0.79,12.5,50.0,2026-08-21,5.0,50.0,2026-07-17,
TYRA,2026-07-09,404,380,24,1496,0.27,0.06,30.0,355.0,2026-07-17,25.0,5.0,2026-08-21,
ATEC,2026-07-09,271,140,131,6654,0.04,0.94,17.5,51.0,2026-07-17,17.5,40.0,2026-07-17,
MAZE,2026-07-09,302,289,13,634,0.48,0.04,30.0,214.0,2026-08-21,50.0,3.0,2026-08-21,
HOG,2026-07-09,392,156,236,3655,0.11,1.51,25.0,53.0,2026-07-17,23.0,50.0,2026-07-17,
PCT,2026-07-09,3366,2239,1127,40558,0.08,0.5,7.5,550.0,2026-07-10,5.0,360.0,2026-07-17,
BRSL,2026-07-09,309,234,75,3145,0.1,0.32,13.0,100.0,2026-08-21,10.0,14.0,2026-07-17,
EYPT,2026-07-09,3321,3044,277,11690,0.28,0.09,30.0,2126.0,2026-07-17,12.5,199.0,2026-08-21,
PMT,2026-07-09,4013,3946,67,11302,0.36,0.02,2.5,946.0,2026-08-21,10.0,23.0,2026-07-17,
UPBD,2026-07-09,218,129,89,2072,0.11,0.69,25.0,45.0,2026-07-17,15.0,50.0,2026-08-21,
GPRE,2026-07-09,933,897,36,4210,0.22,0.04,17.0,696.0,2026-07-17,13.0,12.0,2026-07-17,
TNDM,2026-07-09,1501,1219,282,3806,0.39,0.23,23.0,707.0,2026-08-21,18.0,100.0,2026-08-21,
CGEM,2026-07-09,404,147,257,3031,0.13,1.75,25.0,64.0,2026-07-17,3.0,90.0,2026-07-17,
BORR,2026-07-09,342,280,62,19878,0.02,0.22,1.0,130.0,2026-07-17,5.0,15.0,2026-08-21,
PGEN,2026-07-09,543,497,46,49269,0.01,0.09,5.0,200.0,2026-08-21,5.0,10.0,2026-07-17,
CNMD,2026-07-09,251,177,74,534,0.47,0.42,35.0,150.0,2026-08-21,30.0,32.0,2026-07-17,
ENVX,2026-07-09,7344,3334,4010,98788,0.07,1.2,12.0,700.0,2026-07-17,5.0,2047.0,2026-07-10,
CRVS,2026-07-09,1334,943,391,15668,0.09,0.41,27.0,200.0,2026-07-17,11.0,110.0,2026-07-17,
BTSG,2026-07-10,336,97,239,2720,0.12,2.46,75.0,27.0,2026-08-21,50.0,180.0,2026-08-21,71.83000183105469
VSAT,2026-07-10,1979,1709,270,20758,0.1,0.16,75.0,935.0,2026-07-17,100.0,47.0,2026-07-17,74.65499877929688
CYTK,2026-07-10,1803,1651,152,40371,0.04,0.09,100.0,1128.0,2026-07-17,55.0,19.0,2026-07-17,84.91500091552734
FROG,2026-07-10,1547,1267,280,58628,0.03,0.22,110.0,527.0,2026-07-17,77.5,113.0,2026-08-21,90.41919708251952
KRYS,2026-07-10,477,312,165,3022,0.16,0.53,420.0,146.0,2026-07-17,250.0,95.0,2026-08-21,361.2799987792969
